workbook,requested_view,twb_file,worksheet,datasources,filters_count
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Admin SM - BTN Documentación,federated.0qiz8oi1sb3cd813zi06q01yhyh5,0
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Admin SM - BTN Instructivo Navegación,federated.0qiz8oi1sb3cd813zi06q01yhyh5,1
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Admin SM - Contacto,federated.0qiz8oi1sb3cd813zi06q01yhyh5,1
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Admin SM - Descripción,federated.0qiz8oi1sb3cd813zi06q01yhyh5,0
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Caracteristicas - BTN Mostrar Gráficos,Parameters | federated.0qiz8oi1sb3cd813zi06q01yhyh5,2
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - BTN,Parameters | federated.0qiz8oi1sb3cd813zi06q01yhyh5,3
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Barras,Parameters | federated.0qiz8oi1sb3cd813zi06q01yhyh5,9
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Filtro,Parameters | federated.0qiz8oi1sb3cd813zi06q01yhyh5,7
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Jerarquía,Parameters | federated.0qiz8oi1sb3cd813zi06q01yhyh5,9
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Torta,Parameters | federated.0qiz8oi1sb3cd813zi06q01yhyh5,10
1_1Aspectosdemogrficos_Informacincensal,DHBEvolucinTemporal,1.1 Aspectos demogr├íficos_Informaci├│n censal.twb,Características - Título,Parameters | federated.0qiz8oi1sb3cd813zi06q01yhyh5,8
