workbook,hyper_file,schema,table,ordinal,column,sql_type,nullability
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",1,"""TEMA_ID""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",2,"""TEMA_NOMBRE""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",3,"""TABLERO_ID""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",4,"""SECCION_ID""",BIG_INT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",5,"""SECCION_NOMBRE""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",6,"""GRUPO_INDICADOR_ID""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",7,"""INDICADOR_ID""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",8,"""TIPO_DE_DATO""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",9,"""ID_DATO_SM""",BIG_INT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",10,"""DATO_DE_SISTEMA""",BIG_INT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",11,"""ANIO""",BIG_INT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",12,"""MES""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",13,"""UNIDAD_GEOGRAFICA_CODIGO""",TEXT,Nullability.NULLABLE
1_1Aspectosdemogrficos_Informacincensal,TEMP_0d5gcf21rwyv0k10mry1c19gnq6n.hyper,"""Extract""","""Extract"".""Datos_E76A2789C0C0403C8522440D998704F2""",14,"""UNIDAD_GEOGRAFICA_NOMBRE""",TEXT,Nullability.NULLABLE
